Model,Feature_Count,Features,R2,RMSE
Random_Forest,12,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND, ocean_proximity_ISLAND, ocean_proximity_NEAR BAY, ocean_proximity_NEAR OCEAN",0.816720228207404,49007.29113988663
Random_Forest,9,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND",0.8162119074725848,49075.20418110293
Random_Forest,11,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND, ocean_proximity_ISLAND, ocean_proximity_NEAR BAY",0.8158702743478955,49120.794543202515
Random_Forest,10,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND, ocean_proximity_ISLAND",0.8155371113749346,49165.213861686476
Random_Forest,7,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households",0.8116632364838433,49678.786805275835
Random_Forest,8,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income",0.8101676367291155,49875.648686594046
Random_Forest,6,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population",0.8093979833914853,49976.65393307347
Random_Forest,3,"longitude, latitude, housing_median_age",0.8013018962327396,51027.03000724812
Random_Forest,2,"longitude, latitude",0.7996221823362656,51242.257103573764
Random_Forest,5,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms",0.7982244726029075,51420.663423417885
Random_Forest,4,"longitude, latitude, housing_median_age, total_rooms",0.7843357212238417,53160.92617648099
Gradient_Boosting,8,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income",0.7630991236957857,55716.87673068002
Gradient_Boosting,12,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND, ocean_proximity_ISLAND, ocean_proximity_NEAR BAY, ocean_proximity_NEAR OCEAN",0.7614577009004713,55909.5671983113
Gradient_Boosting,11,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND, ocean_proximity_ISLAND, ocean_proximity_NEAR BAY",0.7551386250600903,56645.259655655995
Gradient_Boosting,9,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND",0.7546288629442367,56704.19217298229
Gradient_Boosting,10,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND, ocean_proximity_ISLAND",0.7546270360858792,56704.40326206107
Gradient_Boosting,6,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population",0.6956548408913343,63151.930214376705
Gradient_Boosting,7,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households",0.6923528662872036,63493.58756184179
Gradient_Boosting,5,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms",0.6521262451679546,67517.17497246801
Linear_Regression,12,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND, ocean_proximity_ISLAND, ocean_proximity_NEAR BAY, ocean_proximity_NEAR OCEAN",0.6254382675296265,70059.19333925015
Lasso_L1,12,"longitude, latitude, housing_median_age, total_rooms, total_bedrooms, population, households, median_income, ocean_proximity_INLAND, ocean_proximity_ISLAND, ocean_proximity_NEAR BAY, ocean_proximity_NEAR OCEAN",0.6254290184147382,70060.05832554193
