Feature,F-Test,Mutual Info,RF Importance,Permutation,Correlation,Mean_Score
median_income,1.0,0.9890334441877717,1.0,1.0,1.0,0.9978066888375544
ocean_proximity_INLAND,0.3333761127652616,0.5176266525098826,0.2871973258609434,0.2916637963649694,0.6991446082043742,0.42580169914108623
longitude,0.002360524246051548,1.0,0.21620018031701382,0.7562652400144935,0.06710940529665348,0.4083870699748425
latitude,0.022884305085371145,0.9306966878177695,0.20764836046044857,0.6259335713816842,0.20702823768935188,0.398838232486925
housing_median_age,0.01192072243684004,0.08323311646434199,0.1060999783774509,0.08306678034648621,0.15015830544032013,0.08689578061308786
total_rooms,0.020044797975834115,0.11290807724018209,0.04771036438463635,0.02354600872196022,0.19400508299152622,0.0796428662628278
ocean_proximity_NEAR BAY,0.029601340361870107,0.03327179032251841,0.001638950435665647,0.0008311707357100622,0.23475629189082187,0.060019908749317216
ocean_proximity_NEAR OCEAN,0.020128316326433752,0.03513895918193626,0.01791938407195549,0.027685599222370346,0.19440156141952528,0.05905476404444423
population,0.0007435639834430903,0.06922258843347162,0.06625191051064522,0.05922303180054298,0.03769277433180671,0.04662677381198192
households,0.00446929467017792,0.08715959287373629,0.037447148271295444,0.009968285333383682,0.09225338758422051,0.04625954174656277
total_bedrooms,0.0025300241142996154,0.06011958268569236,0.048825767703977674,0.02012276482117622,0.0694717108570316,0.040213970036435495
ocean_proximity_ISLAND,0.0004829882647293263,0.006227383398469565,0.0008958747725044609,0.0002797082198137604,0.030382170545548835,0.007653625040213189
